,mean,std,min,max
record,500000.5,288675.27893349814,1.0,1000000.0
fraud_label,0.014393,0.11910439008257055,0.0,1.0
dow_risk,0.014410053276320249,0.000624023584888346,0.013479788805324007,0.015169155201278118
ssn_day_since,327.100964,96.64542896837715,0.0,365.0
ssn_count_0,1.007305,0.2233555167498614,1.0,21.0
ssn_count_1,1.014924,0.3812104662079203,1.0,34.0
ssn_count_3,1.02014,0.42319328857172517,1.0,34.0
ssn_count_7,1.026348,0.4535570400826135,1.0,34.0
ssn_count_14,1.034591,0.47764912945537563,1.0,34.0
ssn_count_30,1.050823,0.5133305817641018,1.0,34.0
address_day_since,320.155939,104.77975070071865,0.0,365.0
address_count_0,1.011943,0.2832886249106634,1.0,24.0
address_count_1,1.024667,0.4829500723190412,1.0,30.0
address_count_3,1.033104,0.5443036114627566,1.0,30.0
address_count_7,1.042545,0.5857501737816162,1.0,30.0
address_count_14,1.054714,0.6179504511463295,1.0,30.0
address_count_30,1.078171,0.664121024980806,1.0,30.0
dob_day_since,75.825542,131.4851802627509,0.0,365.0
dob_count_0,1.085693,0.7306751970902714,1.0,23.0
dob_count_1,1.249598,1.7894557945346938,1.0,40.0
dob_count_3,1.568076,3.968743807487923,1.0,72.0
dob_count_7,2.192154,8.331492078469438,1.0,129.0
dob_count_14,3.266164,15.902502683997486,1.0,236.0
dob_count_30,5.633362,32.78628468626191,1.0,446.0
homephone_day_since,47.379632,110.70416384754746,0.0,365.0
homephone_count_0,1.071087,0.36483115482996037,1.0,22.0
homephone_count_1,1.201652,0.6265659290809109,1.0,31.0
homephone_count_3,1.449296,0.8616216378332987,1.0,32.0
homephone_count_7,1.93312,1.2130830710048632,1.0,33.0
homephone_count_14,2.763811,1.744089676053371,1.0,36.0
homephone_count_30,4.597516,2.8635633098914695,1.0,50.0
name_day_since,284.731665,134.2020558843733,0.0,365.0
name_count_0,1.009603,0.22878556495983982,1.0,21.0
name_count_1,1.021637,0.3913911003281019,1.0,34.0
